directory+filename,painting title,year of painting,style
analytical-cubism/picasso/426_man-with-guitar-1912.jpg,man with guitar,1912,analytical-cubism
impressionism/degas/1876-the-absinthe-drinker.jpg,the absinthe drinker,1876,impressionism
impressionism/degas/1877-repetition-of-the-dance-detail.jpg,repetition of the dance detail,1877,impressionism
impressionism/degas/1877-woman-at-her-toilette.jpg,woman at her toilette,1877,impressionism
impressionism/degas/1879-friends-at-the-theatre-ludovic-halevy-and-albert-cave.jpg,friends at the theatre ludovic halevy and albert cave,1879,impressionism
impressionism/degas/1882-before-the-race.jpg,before the race,1882,impressionism
impressionism/degas/1883-the-morning-bath.jpg,the morning bath,1883,impressionism
impressionism/degas/1886-the-tub.jpg,the tub,1886,impressionism
impressionism/degas/1892-field-of-flax.jpg,field of flax,1892,impressionism
impressionism/degas/1892-the-billiard-room-at-menil-hubert.jpg,the billiard room at menil hubert,1892,impressionism
impressionism/degas/1894-racehorses-in-a-landscape.jpg,racehorses in a landscape,1894,impressionism
"impressionism/monet/1872-impresssion,sunrise.jpg","impresssion,sunrise",1872,impressionism
impressionism/monet/1873-autumn-on-the-seine-at-argenteuil.jpg,autumn on the seine at argenteuil,1873,impressionism
impressionism/monet/1873-the-port-of-le-havre-night-effect.jpg,the port of le havre night effect,1873,impressionism
impressionism/monet/1874-the-promenade-at-argenteuil-soleil-couchant.jpg,the promenade at argenteuil soleil couchant,1874,impressionism
impressionism/monet/1874-zuiderkerk-in-amsterdam.jpg,zuiderkerk in amsterdam,1874,impressionism
impressionism/monet/1875-madame-monet-and-child.jpg,madame monet and child,1875,impressionism
impressionism/monet/1886-haystack-at-giverny.jpg,haystack at giverny,1886,impressionism
"impressionism/monet/1897-water-lillies,evening-effect.jpg","water lillies,evening effect",1897,impressionism
impressionism/monet/1900-irises-in-monets-garden.jpg,irises in monets garden,1900,impressionism
impressionism/monet/1904-houses-of-parliament.jpg,houses of parliament,1904,impressionism
impressionism/piassarro/1881-peasant-girl-drinking-her-coffee.jpg,peasant girl drinking her coffee,1881,impressionism
impressionism/piassarro/1882-peasant-donning-her-marmotte.jpg,peasant donning her marmotte,1882,impressionism
impressionism/piassarro/1887-harvest-of-hay-in-eragny.jpg,harvest of hay in eragny,1887,impressionism
impressionism/piassarro/1888-young-peasant-at-her-toilette.jpg,young peasant at her toilette,1888,impressionism
impressionism/piassarro/1891-peasant-women-planting-stakes.jpg,peasant women planting stakes,1891,impressionism
impressionism/renoir/1876-ball-at-the-moulin-de-la-galette.jpg,ball at the moulin de la galette,1876,impressionism
impressionism/renoir/1877-jeanne-samary-in-a-low-necked-dress.jpg,jeanne samary in a low necked dress,1877,impressionism
impressionism/renoir/1881-pink-and-blue.jpg,pink and blue,1881,impressionism
impressionism/renoir/1883-by-the-seashore.jpg,by the seashore,1883,impressionism
impressionism/renoir/1910-self-portrait-with-a-white-hat.jpg,self portrait with a white hat,1910,impressionism
impressionism/sisley/1873-sentier-de-la-mi-cote-louveciennes.jpg,sentier de la mi cote louveciennes,1873,impressionism
impressionism/sisley/1874-a-park-in-louveciennes.jpg,a park in louveciennes,1874,impressionism
impressionism/sisley/1874-the-lesson.jpg,the lesson,1874,impressionism
impressionism/sisley/1874-under-the-bridge-at-hampton-court.jpg,under the bridge at hampton court,1874,impressionism
impressionism/sisley/1876-flood-at-port-marly.jpg,flood at port marly,1876,impressionism
surrealism/dali/1929-the-great-masturbator.jpg,the great masturbator,1929,surrealism
surrealism/dali/1931-the-dream-caused-by-the-flight-of-a-bee-etc.jpg,the dream caused by the flight of a bee etc,1931,surrealism
surrealism/dali/1931-the-persistence-of-memory.jpg,the persistence of memory,1931,surrealism
surrealism/dali/1937-the-burning-giraffe.jpg,the burning giraffe,1937,surrealism
surrealism/dali/1941-the-face-of-war.jpg,the face of war,1941,surrealism
surrealism/dali/1947-portrait-of-picasso.jpg,portrait of picasso,1947,surrealism
surrealism/dali/1947-three-sphinxes-of-bikini.jpg,three sphinxes of bikini,1947,surrealism
surrealism/dali/1954-the-disintegration-of-the-persistence-of-memory.jpg,the disintegration of the persistence of memory,1954,surrealism
surrealism/dali/1954-young-virgin-auto-sodomized.jpg,young virgin auto sodomized,1954,surrealism
surrealism/dali/1970-the-hallucinogenic-toreador.jpg,the hallucinogenic toreador,1970,surrealism
surrealism/ernst/1921-the-elephant-celebes.jpg,the elephant celebes,1921,surrealism
surrealism/ernst/1923-woman-old-man-and-flower.jpg,woman old man and flower,1923,surrealism
surrealism/ernst/1926-the-virgin-spanking-the-christ-child-etc.jpg,the virgin spanking the christ child etc,1926,surrealism
surrealism/ernst/1935-the-aeroplane-trap.jpg,the aeroplane trap,1935,surrealism
surrealism/ernst/1973-the-triumph-of-surrealism.jpg,the triumph of surrealism,1973,surrealism
surrealism/kahlo/1931-portrait-of-luther-burbank.jpg,portrait of luther burbank,1931,surrealism
surrealism/kahlo/1932-henry-ford-hospital.jpg,henry ford hospital,1932,surrealism
surrealism/kahlo/1938-what-the-water-gave-me.jpg,what the water gave me,1938,surrealism
surrealism/kahlo/1945-without-hope.jpg,without hope,1945,surrealism
surrealism/kahlo/1949-the-love-embrace-of-the-universe-etc.jpg,the love embrace of the universe etc,1949,surrealism
surrealism/magritte/1928-attempting-the-impossible.jpg,attempting the impossible,1928,surrealism
surrealism/magritte/1928-the-false-mirror.jpg,the false mirror,1928,surrealism
surrealism/magritte/1930-the-annunciation.jpg,the annunciation,1930,surrealism
surrealism/magritte/1933-elective-affinities.jpg,elective affinities,1933,surrealism
surrealism/magritte/1936-la-clairvoyance.jpg,la clairvoyance,1936,surrealism
surrealism/magritte/1937-not-to-be-reproduced.jpg,not to be reproduced,1937,surrealism
surrealism/magritte/1938-time-transfixed.jpg,time transfixed,1938,surrealism
surrealism/magritte/1945-black-magic.jpg,black magic,1945,surrealism
surrealism/magritte/1945-rape.jpg,rape,1945,surrealism
surrealism/magritte/1946-son-of-man.jpg,son of man,1946,surrealism
surrealism/miro/1922-the-farm.jpg,the farm,1922,surrealism
surrealism/miro/1925-harlequins-carnival.jpg,harlequins carnival,1925,surrealism
surrealism/miro/1928-dutch-interior-i.jpg,dutch interior i,1928,surrealism
surrealism/miro/1934-snail-woman-flower-star.jpg,snail woman flower star,1934,surrealism
surrealism/miro/1936-le-fermier-et-son-epouse.jpg,le fermier et son epouse,1936,surrealism
